,TSM_Ret,SOX_Ret,TSM_Ret_lag2,SOX_Ret_lag2,TSM_SOX_Spread,NetOI_Diff_lag1,NetOI_Diff_lag2,Open_Gap,Gap_Direction,Intraday_Ret,Intraday_Point,Intra_Ret_lag1,TX_Ret,TX_Ret_lag1,TX_Vol5,TX_Mom5,MA5,MA20,RSI
2024-01-29,0.005987593754349477,-0.029535696748448078,0.00034318720436157167,-0.0024722700194480763,0.03552329050279755,1043.0,3871.0,12.0,1,0.006309518385818005,114,0.002670377108409092,0.006975999943396381,0.00022225926634805455,0.0029632893212764603,0.017995272158586036,17978.4,17639.85,66.95906432748538
2024-01-30,-0.0023906160697607748,0.010576951877389655,0.005987593754349477,-0.029535696748448078,-0.01296756794715043,-1056.0,1043.0,4.0,1,-0.002651202878514468,-48,0.006309518385818005,-0.002430537571721714,0.006975999943396381,0.002667516782826415,0.01713914303890572,18020.6,17654.0,68.68626274745051
2024-01-31,-0.007895780598394894,-0.01568193472807387,-0.0023906160697607748,0.010576951877389655,0.007786154129678976,-2501.0,-1056.0,-91.0,0,-0.003898640415657309,-70,-0.002651202878514468,-0.008944255622232333,-0.002430537571721714,0.0037662956351380574,0.011738333997680109,18024.0,17672.7,60.08182349503215
2024-02-01,-0.02707346004480094,-0.01376806062130109,-0.007895780598394894,-0.01568193472807387,-0.01330539942349985,-2400.0,-2501.0,36.0,1,0.0016693565726379734,30,-0.003898640415657309,0.003676269945539225,-0.008944255622232333,0.0063386368775268315,0.0009491109776484982,18022.2,17694.7,64.69544648137196
2024-02-02,0.003799410052267913,0.004580067204442403,-0.02707346004480094,-0.01376806062130109,-0.0007806571521744902,-1995.0,-2400.0,114.0,1,-0.0008843688394213608,-16,0.0016693565726379734,0.005433891940034933,0.003676269945539225,0.006084531695330527,-0.000500264038670387,18039.2,17722.95,65.27050610820244
2024-02-05,0.02059947091828961,0.01305545512137413,0.003799410052267913,0.004580067204442403,0.007544015796915479,-2615.0,-1995.0,-76.0,0,0.00432205471385722,78,-0.0008843688394213608,0.00011058888592972827,0.005433891940034933,0.006579789893664921,0.004711368635016491,18031.4,17747.5,75.18394648829431
2024-02-15,0.013394725637983385,0.021527151821512342,-0.0225583159834729,-0.020350197766104066,-0.008132426183528958,642.0,-2615.0,504.0,1,0.004133457317107247,77,0.00432205471385722,0.03161910073217133,0.00011058888592972827,0.005657596972257422,-0.0021540424224501613,18148.6,17803.6,89.26701570680629
2024-02-16,-0.0018582568991561829,-0.0016024665845936253,0.013394725637983385,0.021527151821512342,-0.0002557903145625575,2841.0,642.0,16.0,1,-0.0026261504494672415,-49,0.004133457317107247,-0.0017693900222266591,0.03161910073217133,0.015160440335382015,0.03189559588144288,18291.4,17862.4,86.99453551912568
2024-02-19,-0.01830178203499022,-0.006696185605582474,-0.0018582568991561829,-0.0016024665845936253,-0.011605596429407748,-4050.0,2841.0,46.0,1,-0.0004819148174978152,-9,-0.0026261504494672415,0.0019836489549654923,-0.0017693900222266591,0.013607465343676467,0.039070461481448555,18428.4,17917.2,83.79850238257318
2024-02-23,0.029324886835513122,0.04851001580899968,7.980764354421438e-05,-0.002360999055757566,-0.01918512897348656,664.0,-321.0,101.0,1,-0.004063008517877156,-77,0.00010588733597367272,0.0012697742566347096,0.010484117211502799,0.0054508548744705565,0.011822482999222707,18783.6,18202.15,80.27704485488127
